id,sentence,label
839,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,negative
840,It would take too long to describe how bad my customer service experience has been with Amazon.,negative
841,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,negative
842,Terrible.. My car will not accept this cassette.,negative
843,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",negative
844,It's not what it says it is.,negative
845,Stay Away From the Q!.,negative
846,Used and dirty.,negative
847,Very unreliable service from T-mobile !,negative
848,Not good enough for the price.,negative
849,I bought two of them and neither will charge.,negative
850,It looks very nice.,positive
851,"This is an excellent tool, especially when paired with your phone's auto-answer.",positive
852,I have read other's reviews here but I haven't had any problem with it.,positive
853,These products cover up the important light sensor above the ear outlet.,negative
854,Comfortable in my hand.,positive
855,Just does not work.,negative
856,Poor Reliability.,negative
857,(It works!),positive
858,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",negative
859,"Terrible product, and waste of money!",negative
860,Last time buying from you.,negative
861,It was a waste of my money.,negative
862,So far it has worked like a charm.,positive
863,"I have only had it for a few weeks, but so far, so good.",positive
864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",positive
865,Would recommend this item.,positive
866,It's been my choice headset for years.Great sound; good volume; good noise cancellation.,positive
867,"Nice case, feels good in your hands.",positive
868,The item received was Counterfeit.,negative
869,"Just really good.. So far, probably the best BT headset I have ever had.",positive
870,Works fine.,positive
871,I received my headset in good time and was happy with it.,positive
872,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,positive
873,My sister has one also and she loves it.,positive
874,Good Quality.,positive
875,This is by far the worst purchase I've made on Amazon.,negative
876,Excellent dual-purpose headset.,positive
877,Excellent!.,positive
878,Does not work for listening to music with the cingular 8125.,negative
879,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",positive
880,"The bottowm line...another worthless, cheap gimmick from Sprint.",negative
881,Having trouble with volume.,negative
882,The only good thing was that it fits comfortably on small ears.,positive
883,WARNING - DO NOT BUY!!.,negative
884,"I am pairing this with my iphone, and I could not be happier with it so far.",positive
885,"When it opens, the battery connection is broken and the device is turned off.",negative
886,"I didn't want the clip going over the top of my ear, causing discomfort.",negative
887,Best headset ever!!!.,positive
888,Don't trust their website and don't expect any helpful support.,negative
889,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,positive
890,The speaker is of low quality so as making the ring tones sound very cheap.,negative
891,"Fits comfortably, came with three sizes of earbud tips.",positive
892,Excellent product for the price.,positive
893,Bad Reception.,negative
894,This product is very High quality Chinese CRAP!!!!!!,negative
895,It was quite comfortable in the ear.,positive
896,Great phone.,positive
897,Don't buy this product - It fails!.,negative
898,Everything about this product is wrong.First,negative
899,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,positive
900,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",negative
901,Terrible phone holder.,negative
902,The cutouts and buttons are placed perfectly.,positive
903,I love being able to use one headset for both by land-line and cell.,positive
904,Problem is that the ear loops are made of weak material and break easily.,negative
905,Not nearly as good looking as the AMAZON picture makes it look.,negative
906,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",positive
907,How stupid is that?,negative
908,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",positive
909,Seller shipped quickly and much cheaper than the competitors.,positive
910,"Good show, Samsung.",positive
911,So I bought about 10 of these and saved alot of money.,positive
912,It always cuts out and makes a beep beep beep sound then says signal failed.,negative
913,Couldn't figure it out,negative
914,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",negative
915,So I had to take the battery out of the phone put it all back together and then restart it.,negative
916,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",negative
917,Leopard Print is wonderfully wild!.,positive
918,Works for me.,positive
919,"Saggy, floppy piece of junk.",negative
920,much better than the hard plastic cases.,positive
921,It also had a new problem.,negative
922,Happy so far!.,positive
923,cool phone.,positive
924,Works good.,positive
925,Motorola finally got the voice quality of a bluetooth headset right.,positive
926,It looses connection to the phone even when it is within a couple feet between the two.,negative
927,"but it is great, i would really recommend it",positive
928,Makes it easier to keep up with my bluetooth when I'm not wearing it.,negative
929,As I said above....PRETTY USELESS!,negative
930,Never got it!!!!!,negative
931,This pair of headphones is the worst that I have ever had sound-wise.,negative
932,[...] down the drain because of a weak snap!,negative
933,Does not charge the Cingular (ATT) 8525 phone.,negative
934,"You get extra minutes so that you can carry out the call and not get cut off.""",positive
935,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",negative
936,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,negative
937,The headset fulfills my requirements so I am happy with my purchase.,positive
938,Logitech Bluetooth Headset is a 10!.,positive
939,"I like the fact that it rests lightly against your ear, rather than inside.",positive
940,A lot of websites have been rating this a very good phone and so do I.,positive
941,I have tried these cables with my computer and my iPod and it works just fine.,positive
942,"The mic there is a joke, and the volume is quite low.",negative
943,I'm returning them.,negative
944,I does not maintain a connection with the computer while it is on my lap.,negative
945,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,positive
946,I have had mine for about a year and this Christmas I bought some for the rest of the family.,positive
947,"Otherwise, easy to install and use, clear sound.",positive
948,nice leather.,positive
949,I had to purchase a different case.,negative
950,It is a joy to use.,positive
951,Very much disappointed with this company.,negative
952,Very satisifed with that.,positive
953,It didn't charge for me.,negative
954,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,positive
955,Buttons are too small.,negative
956,Just reading on the specs alone makes you say WOW.,positive
957,Love it.. Great armband.,positive
958,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,positive
959,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",negative
960,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,positive
961,I was very impressed with the price of the cases.,positive
962,Also makes it easier to hold on to.,positive
963,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",positive
964,It's pretty easy.,positive
965,I cannot make calls at certain places.,negative
966,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",negative
967,Beautiful styling though.,positive
968,This company charge me a restocking fee and still not given me my refund back.,negative
969,I'm trying to return it for a refund.,negative
970,I plugged it in only to find out not a darn thing worked.,negative
971,Excellent product.,positive
972,Earbud piece breaks easily.,negative
973,Lousy product.,negative
974,This phone tries very hard to do everything but fails at it's very ability to be a phone.,negative
975,It is the best charger I have seen on the market yet.,positive
976,SWEETEST PHONE!!!,positive
977,":-)Oh, the charger seems to work fine.",positive
978,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,positive
979,Not enough volume.,negative
980,Echo Problem....Very unsatisfactory,negative
981,you could only take 2 videos at a time and the quality was very poor.,negative
982,don't waste your money.,negative
983,I am going to have to be the first to negatively review this product.,negative
984,Adapter does not provide enough charging current.,negative
985,"There was so much hype over this phone that I assumed it was the best, my mistake.",negative
986,You also cannot take pictures with it in the case because the lense is covered.,negative
987,Phone falls out easily.,negative
988,"It didn't work, people can not hear me when I talk.",negative
989,The text messaging feature is really tricky to use.,negative
990,I'm really disappointed all I have now is a charger that doesn't work.,negative
991,Painful on the ear.,negative
992,Lasted one day and then blew up.,negative
993,disappointed.,negative
994,Kind of flops around.,negative
995,The screen does get smudged easily because it touches your ear and face.,negative
996,What a piece of junk.. I lose more calls on this phone.,negative
997,Item Does Not Match Picture.,negative
998,The only thing that disappoint me is the infra red port (irda).,negative
999,"You can not answer calls with the unit, never worked once!",negative
1000,Wow... Loved this place.,positive
1001,Crust is not good.,negative
1002,Not tasty and the texture was just nasty.,negative
1003,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,positive
1004,The selection on the menu was great and so were the prices.,positive
1005,Now I am getting angry and I want my damn pho.,negative
1006,Honeslty it didn't taste THAT fresh.),negative
1007,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,negative
1008,The fries were great too.,positive
1009,A great touch.,positive
1010,Service was very prompt.,positive
1011,Would not go back.,negative
1012,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,negative
1013,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",positive
1014,I was disgusted because I was pretty sure that was human hair.,negative
1015,I was shocked because no signs indicate cash only.,negative
1016,Highly recommended.,positive
1017,Waitress was a little slow in service.,negative
1018,"This place is not worth your time, let alone Vegas.",negative
1019,did not like at all.,negative
1020,The Burrittos Blah!,negative
1021,"The food, amazing.",positive
1022,Service is also cute.,positive
1023,I could care less... The interior is just beautiful.,positive
1024,So they performed.,positive
1025,That's right....the red velvet cake.....ohhh this stuff is so good.,positive
1026,- They never brought a salad we asked for.,negative
1027,"This hole in the wall has great Mexican street tacos, and friendly staff.",positive
1028,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",negative
1029,The worst was the salmon sashimi.,negative
1030,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",positive
1031,This was like the final blow!,negative
1032,I found this place by accident and I could not be happier.,positive
1033,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",negative
1034,"Overall, I like this place a lot.",positive
1035,The only redeeming quality of the restaurant was that it was very inexpensive.,positive
1036,Ample portions and good prices.,positive
1037,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative
1038,My first visit to Hiro was a delight!,positive
1039,Service sucks.,negative
1040,The shrimp tender and moist.,positive
1041,There is not a deal good enough that would drag me into that establishment again.,negative
1042,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative
1043,"On a positive note, our server was very attentive and provided great service.",positive
1044,"Frozen pucks of disgust, with some of the worst people behind the register.",negative
1045,The only thing I did like was the prime rib and dessert section.,positive
1046,It's too bad the food is so damn generic.,negative
1047,"The burger is good beef, cooked just right.",positive
1048,If you want a sandwich just go to any Firehouse!!!!!,positive
1049,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive
1050,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,positive
1051,He came running after us when he realized my husband had left his sunglasses on the table.,positive
1052,Their chow mein is so good!,positive
1053,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",negative
1054,The portion was huge!,positive
1055,"Loved it...friendly servers, great food, wonderful and imaginative menu.",positive
1056,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,negative
1057,Not much seafood and like 5 strings of pasta at the bottom.,negative
1058,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",positive
1059,"The ripped banana was not only ripped, but petrified and tasteless.",negative
1060,At least think to refill my water before I struggle to wave you over for 10 minutes.,negative
1061,This place receives stars for their APPETIZERS!!!,positive
1062,The cocktails are all handmade and delicious.,positive
1063,We'd definitely go back here again.,positive
1064,We are so glad we found this place.,positive
1065,"Great food and service, huge portions and they give a military discount.",positive
1066,Always a great time at Dos Gringos!,positive
1067,Update.....went back for a second time and it was still just as amazing,positive
1068,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,negative
1069,A great way to finish a great.,positive
1070,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",positive
1071,"- Really, really good rice, all the time.",positive
1072,The service was meh.,negative
1073,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative
1074,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative
1075,The scallop dish is quite appalling for value as well.,negative
1076,2 times - Very Bad Customer Service !,negative
1077,The sweet potato fries were very good and seasoned well.,positive
1078,Today is the second time I've been to their lunch buffet and it was pretty good.,positive
1079,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,negative
1080,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative
1081,walked in and the place smelled like an old grease trap and only 2 others there eating.,negative
1082,The turkey and roast beef were bland.,negative
1083,This place has it!,positive
1084,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative
1085,I love the Pho and the spring rolls oh so yummy you have to try.,positive
1086,The poor batter to meat ratio made the chicken tenders very unsatisfying.,negative
1087,All I have to say is the food was amazing!!!,positive
1088,Omelets are to die for!,positive
1089,Everything was fresh and delicious!,positive
1090,"In summary, this was a largely disappointing dining experience.",negative
1091,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",positive
1092,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",negative
1093,Best breakfast buffet!!!,positive
1094,say bye bye to your tip lady!,negative
1095,We'll never go again.,negative
1096,Will be back again!,positive
1097,Food arrived quickly!,positive
1098,It was not good.,negative
1099,"On the up side, their cafe serves really good food.",positive
1100,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",positive
1101,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",positive
1102,"Best Buffet in town, for the price you cannot beat it.",positive
1103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",positive
1104,This is one of the better buffets that I have been to.,positive
1105,So we went to Tigerlilly and had a fantastic afternoon!,positive
1106,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",positive
1107,The ambience is wonderful and there is music playing.,positive
1108,Will go back next trip out.,positive
1109,Sooooo good!!,positive
1110,"REAL sushi lovers, let's be honest - Yama is not that good.",negative
1111,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative
1112,This is a really fantastic Thai restaurant which is definitely worth a visit.,positive
1113,"Nice, spicy and tender.",positive
1114,Good prices.,positive
1115,Check it out.,positive
1116,It was pretty gross!,negative
1117,I've had better atmosphere.,negative
1118,Kind of hard to mess up a steak but they did.,negative
1119,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative
1120,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,negative
1121,"Worst service to boot, but that is the least of their worries.",negative
1122,Service was fine and the waitress was friendly.,positive
1123,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",positive
1124,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",positive
1125,"Host staff were, for lack of a better word, BITCHES!",negative
1126,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative
1127,"Phenomenal food, service and ambiance.",positive
1128,I wouldn't return.,negative
1129,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",positive
1130,This place is way too overpriced for mediocre food.,negative
1131,Penne vodka excellent!,positive
1132,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",positive
1133,The management is rude.,negative
1134,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",positive
1135,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",positive
1136,I had a seriously solid breakfast here.,positive
1137,This is one of the best bars with food in Vegas.,positive
1138,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",negative
1139,My drink was never empty and he made some really great menu suggestions.,positive
1140,Don't do it!!!!,negative
1141,The waiter wasn't helpful or friendly and rarely checked on us.,negative
1142,My husband and I ate lunch here and were very disappointed with the food and service.,negative
1143,And the red curry had so much bamboo shoots and wasn't very tasty to me.,negative
1144,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,positive
1145,The bathrooms are clean and the place itself is well decorated.,positive
1146,"The menu is always changing, food quality is going down & service is extremely slow.",negative
1147,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative
1148,I give it 2 thumbs down,negative
1149,We watched our waiter pay a lot more attention to other tables and ignore us.,negative
1150,My fiancé and I came in the middle of the day and we were greeted and seated right away.,positive
1151,This is a great restaurant at the Mandalay Bay.,positive
1152,We waited for forty five minutes in vain.,negative
1153,Crostini that came with the salad was stale.,negative
1154,Some highlights : Great quality nigiri here!,positive
1155,the staff is friendly and the joint is always clean.,positive
1156,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,positive
1157,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,positive
1158,this place is good.,positive
1159,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative
1160,I came back today since they relocated and still not impressed.,negative
1161,I was seated immediately.,positive
1162,"Their menu is diverse, and reasonably priced.",positive
1163,Avoid at all cost!,negative
1164,Restaurant is always full but never a wait.,positive
1165,DELICIOUS!!,positive
1166,This place is hands-down one of the best places to eat in the Phoenix metro area.,positive
1167,So don't go there if you are looking for good food...,negative
1168,I've never been treated so bad.,negative
1169,Bacon is hella salty.,positive
1170,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,negative
1171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",positive
1172,The waitresses are very friendly.,positive
1173,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",positive
1174,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,positive
1175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative
1176,The service here leaves a lot to be desired.,negative
1177,"The atmosphere is modern and hip, while maintaining a touch of coziness.",positive
1178,"Not a weekly haunt, but definitely a place to come back to every once in a while.",positive
1179,We literally sat there for 20 minutes with no one asking to take our order.,negative
1180,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",negative
1181,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,negative
1182,I dressed up to be treated so rudely!,negative
1183,It was probably dirt.,negative
1184,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",positive
1185,I ordered the Lemon raspberry ice cocktail which was also incredible.,positive
1186,"The food sucked, which we expected but it sucked more than we could have imagined.",negative
1187,Interesting decor.,positive
1188,What I really like there is the crepe station.,positive
1189,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",positive
1190,you can watch them preparing the delicious food!),positive
1191,Both of the egg rolls were fantastic.,positive
1192,"When my order arrived, one of the gyros was missing.",negative
1193,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",positive
1194,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,negative
1195,The best place to go for a tasty bowl of Pho!,positive
1196,The live music on Fridays totally blows.,negative
1197,I've never been more insulted or felt disrespected.,negative
1198,Very friendly staff.,positive
1199,It is worth the drive.,positive
1200,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",positive
1201,Food was great and so was the serivce!,positive
1202,The warm beer didn't help.,negative
1203,Great brunch spot.,positive
1204,Service is friendly and inviting.,positive
1205,Very good lunch spot.,positive
1206,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,negative
1207,The WORST EXPERIENCE EVER.,negative
1208,Must have been an off night at this place.,negative
1209,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",positive
1210,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",negative
1211,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",negative
1212,My friend loved the salmon tartar.,positive
1213,Won't go back.,negative
1214,Extremely Tasty!,positive
1215,Waitress was good though!,positive
1216,Soggy and not good.,negative
1217,The Jamaican mojitos are delicious.,positive
1218,Which are small and not worth the price.,negative
1219,- the food is rich so order accordingly.,positive
1220,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative
1221,The service was a bit lacking.,negative
1222,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",negative
1223,Hopefully this bodes for them going out of business and someone who can cook can come in.,negative
1224,"It was either too cold, not enough flavor or just bad.",negative
1225,I loved the bacon wrapped dates.,positive
1226,This is an unbelievable BARGAIN!,positive
1227,The folks at Otto always make us feel so welcome and special.,positive
1228,"As for the ""mains,"" also uninspired.",negative
1229,This is the place where I first had pho and it was amazing!!,positive
1230,This wonderful experience made this place a must-stop whenever we are in town again.,positive
1231,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",negative
1232,Very very fun chef.,positive
1233,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",negative
1234,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,positive
1235,"If it were possible to give them zero stars, they'd have it.",negative
1236,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",negative
1237,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",positive
1238,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative
1239,"Everyone is very attentive, providing excellent customer service.",positive
1240,Horrible - don't waste your time and money.,negative
1241,Now this dish was quite flavourful.,positive
1242,By this time our side of the restaurant was almost empty so there was no excuse.,negative
1243,"(It wasn't busy either) Also, the building was FREEZING cold.",negative
1244,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",negative
1245,-Drinks took close to 30 minutes to come out at one point.,negative
1246,"Seriously flavorful delights, folks.",positive
1247,Much better than the other AYCE sushi place I went to in Vegas.,positive
1248,The lighting is just dark enough to set the mood.,positive
1249,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,negative
1250,Owner's are really great people.!,positive
1251,There is nothing privileged about working/eating there.,negative
1252,The Greek dressing was very creamy and flavorful.,positive
1253,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",negative
1254,Now the pizza itself was good the peanut sauce was very tasty.,positive
1255,We had 7 at our table and the service was pretty fast.,positive
1256,Fantastic service here.,positive
1257,I as well would've given godfathers zero stars if possible.,negative
1258,They know how to make them here.,positive
1259,very tough and very short on flavor!,negative
1260,I hope this place sticks around.,positive
1261,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",negative
1262,The restaurant atmosphere was exquisite.,positive
1263,"Good service, very clean, and inexpensive, to boot!",positive
1264,The seafood was fresh and generous in portion.,positive
1265,"Plus, it's only 8 bucks.",positive
1266,"The service was not up to par, either.",negative
1267,"Thus far, have only visited twice and the food was absolutely delicious each time.",positive
1268,Just as good as when I had it more than a year ago!,positive
1269,"For a self proclaimed coffee cafe, I was wildly disappointed.",negative
1270,The Veggitarian platter is out of this world!,positive
1271,You cant go wrong with any of the food here.,positive
1272,You can't beat that.,positive
1273,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",positive
1274,The chefs were friendly and did a good job.,positive
1275,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",negative
1276,I liked the patio and the service was outstanding.,positive
1277,The goat taco didn't skimp on the meat and wow what FLAVOR!,positive
1278,I think not again,negative
1279,I had the mac salad and it was pretty bland so I will not be getting that again.,negative
1280,I went to Bachi Burger on a friend's recommendation and was not disappointed.,positive
1281,Service stinks here!,negative
1282,I waited and waited.,negative
1283,"This place is not quality sushi, it is not a quality restaurant.",negative
1284,I would definitely recommend the wings as well as the pizza.,positive
1285,Great Pizza and Salads!,positive
1286,Things that went wrong: - They burned the saganaki.,negative
1287,We waited an hour for what was a breakfast I could have done 100 times better at home.,negative
1288,This place is amazing!,positive
1289,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",negative
1290,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,negative
1291,Just don't know why they were so slow.,negative
1292,"The staff is great, the food is delish, and they have an incredible beer selection.",positive
1293,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative
1294,I didn't know pulled pork could be soooo delicious.,positive
1295,"You get incredibly fresh fish, prepared with care.",positive
1296,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,negative
1297,I love the fact that everything on their menu is worth it.,positive
1298,Never again will I be dining at this place!,negative
1299,The food was excellent and service was very good.,positive
1300,Good beer & drink selection and good food selection.,positive
1301,Please stay away from the shrimp stir fried noodles.,negative
1302,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,negative
1303,Food was really boring.,negative
1304,Good Service-check!,positive
1305,This greedy corporation will NEVER see another dime from me!,negative
1306,"Will never, ever go back.",negative
1307,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",negative
1308,"In the summer, you can dine in a charming outdoor patio - so very delightful.",positive
1309,I did not expect this to be so good!,positive
1310,Fantastic food!,positive
1311,She ordered a toasted English muffin that came out untoasted.,negative
1312,The food was very good.,positive
1313,Never going back.,negative
1314,"Great food for the price, which is very high quality and house made.",positive
1315,The bus boy on the other hand was so rude.,negative
1316,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",negative
1317,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",positive
1318,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",positive
1319,All the bread is made in-house!,positive
1320,The only downside is the service.,negative
1321,"Also, the fries are without a doubt the worst fries I've ever had.",negative
1322,Service was exceptional and food was a good as all the reviews.,positive
1323,"A couple of months later, I returned and had an amazing meal.",positive
1324,Favorite place in town for shawarrrrrrma!!!!!!,positive
1325,The black eyed peas and sweet potatoes... UNREAL!,positive
1326,You won't be disappointed.,positive
1327,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",positive
1328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",negative
1329,When my mom and I got home she immediately got sick and she only had a few bites of salad.,negative
1330,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,negative
1331,"Both of them were truly unbelievably good, and I am so glad we went back.",positive
1332,"We had fantastic service, and were pleased by the atmosphere.",positive
1333,Everything was gross.,negative
1334,I love this place.,positive
1335,Great service and food.,positive
1336,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,negative
1337,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",negative
1338,"OMG, the food was delicioso!",positive
1339,There is nothing authentic about this place.,negative
1340,the spaghetti is nothing special whatsoever.,negative
1341,"Of all the dishes, the salmon was the best, but all were great.",positive
1342,The vegetables are so fresh and the sauce feels like authentic Thai.,positive
1343,It's worth driving up from Tucson!,positive
1344,The selection was probably the worst I've seen in Vegas.....there was none.,negative
1345,Pretty good beer selection too.,positive
1346,"This place is like Chipotle, but BETTER.",positive
1347,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",positive
1348,5 stars for the brick oven bread app!,positive
1349,"I have eaten here multiple times, and each time the food was delicious.",positive
1350,We sat another ten minutes and finally gave up and left.,negative
1351,He was terrible!,negative
1352,Everyone is treated equally special.,positive
1353,It shouldn't take 30 min for pancakes and eggs.,negative
1354,It was delicious!!!,positive
1355,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",positive
1356,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",negative
1357,As always the evening was wonderful and the food delicious!,positive
1358,Best fish I've ever had in my life!,positive
1359,(The bathroom is just next door and very nice.),positive
1360,The buffet is small and all the food they offered was BLAND.,negative
1361,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,positive
1362,Pretty cool I would say.,positive
1363,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,negative
1364,Server did a great job handling our large rowdy table.,positive
1365,"I find wasting food to be despicable, but this just wasn't food.",negative
1366,My wife had the Lobster Bisque soup which was lukewarm.,negative
1367,Would come back again if I had a sushi craving while in Vegas.,positive
1368,"The staff are great, the ambiance is great.",positive
1369,He deserves 5 stars.,positive
1370,I left with a stomach ache and felt sick the rest of the day.,negative
1371,They dropped more than the ball.,negative
